	value
0	Self-direction: thought
1	Self-direction: action
2	Stimulation
3	Hedonism
4	Achievement
5	Power: dominance
6	Power: resources
7	Face
8	Security: personal
9	Security: societal
10	Tradition
11	Conformity: rules
12	Conformity: interpersonal
13	Humility
14	Benevolence: caring
15	Benevolence: dependability
16	Universalism: concern
17	Universalism: nature
18	Universalism: tolerance
19	Universalism: objectivity
20	Self-direction: thought
21	Self-direction: action
22	Stimulation
23	Hedonism
24	Achievement
25	Power: dominance
26	Power: resources
27	Face
28	Security: personal
29	Security: societal
30	Tradition
31	Conformity: rules
32	Conformity: interpersonal
33	Humility
34	Benevolence: caring
35	Benevolence: dependability
36	Universalism: concern
37	Universalism: nature
38	Universalism: tolerance
39	Universalism: objectivity
40	Self-direction: thought
41	Self-direction: action
42	Stimulation
43	Hedonism
44	Achievement
45	Power: dominance
46	Power: resources
47	Face
48	Security: personal
49	Security: societal
50	Tradition
51	Conformity: rules
52	Conformity: interpersonal
53	Humility
54	Benevolence: caring
55	Benevolence: dependability
56	Universalism: concern
57	Universalism: nature
58	Universalism: tolerance
59	Universalism: objectivity
60	Self-direction: thought
61	Self-direction: action
62	Stimulation
63	Hedonism
64	Achievement
65	Power: dominance
66	Power: resources
67	Face
68	Security: personal
69	Security: societal
70	Tradition
71	Conformity: rules
72	Conformity: interpersonal
73	Humility
74	Benevolence: caring
75	Benevolence: dependability
76	Universalism: concern
77	Universalism: nature
78	Universalism: tolerance
79	Universalism: objectivity
80	Self-direction: thought
81	Self-direction: action
82	Stimulation
83	Hedonism
84	Achievement
85	Power: dominance
86	Power: resources
87	Face
88	Security: personal
89	Security: societal
90	Tradition
91	Conformity: rules
92	Conformity: interpersonal
93	Humility
94	Benevolence: caring
95	Benevolence: dependability
96	Universalism: concern
97	Universalism: nature
98	Universalism: tolerance
99	Universalism: objectivity
100	Self-direction: thought
101	Self-direction: action
102	Stimulation
103	Hedonism
104	Achievement
105	Power: dominance
106	Power: resources
107	Face
108	Security: personal
109	Security: societal
110	Tradition
111	Conformity: rules
112	Conformity: interpersonal
113	Humility
114	Benevolence: caring
115	Benevolence: dependability
116	Universalism: concern
117	Universalism: nature
118	Universalism: tolerance
119	Universalism: objectivity
120	Self-direction: thought
121	Self-direction: action
122	Stimulation
123	Hedonism
124	Achievement
125	Power: dominance
126	Power: resources
127	Face
128	Security: personal
129	Security: societal
130	Tradition
131	Conformity: rules
132	Conformity: interpersonal
133	Humility
134	Benevolence: caring
135	Benevolence: dependability
136	Universalism: concern
137	Universalism: nature
138	Universalism: tolerance
139	Universalism: objectivity
140	Self-direction: thought
141	Self-direction: action
142	Stimulation
143	Hedonism
144	Achievement
145	Power: dominance
146	Power: resources
147	Face
148	Security: personal
149	Security: societal
150	Tradition
151	Conformity: rules
152	Conformity: interpersonal
153	Humility
154	Benevolence: caring
155	Benevolence: dependability
156	Universalism: concern
157	Universalism: nature
158	Universalism: tolerance
159	Universalism: objectivity
160	Self-direction: thought
161	Self-direction: action
162	Stimulation
163	Hedonism
164	Achievement
165	Power: dominance
166	Power: resources
167	Face
168	Security: personal
169	Security: societal
170	Tradition
171	Conformity: rules
172	Conformity: interpersonal
173	Humility
174	Benevolence: caring
175	Benevolence: dependability
176	Universalism: concern
177	Universalism: nature
178	Universalism: tolerance
179	Universalism: objectivity
180	Self-direction: thought
181	Self-direction: action
182	Stimulation
183	Hedonism
184	Achievement
185	Power: dominance
186	Power: resources
187	Face
188	Security: personal
189	Security: societal
190	Tradition
191	Conformity: rules
192	Conformity: interpersonal
193	Humility
194	Benevolence: caring
195	Benevolence: dependability
196	Universalism: concern
197	Universalism: nature
198	Universalism: tolerance
199	Universalism: objectivity
200	Self-direction: thought
201	Self-direction: action
202	Stimulation
203	Hedonism
204	Achievement
205	Power: dominance
206	Power: resources
207	Face
208	Security: personal
209	Security: societal
210	Tradition
211	Conformity: rules
212	Conformity: interpersonal
213	Humility
214	Benevolence: caring
215	Benevolence: dependability
216	Universalism: concern
217	Universalism: nature
218	Universalism: tolerance
219	Universalism: objectivity
220	Self-direction: thought
221	Self-direction: action
222	Stimulation
223	Hedonism
224	Achievement
225	Power: dominance
226	Power: resources
227	Face
228	Security: personal
229	Security: societal
230	Tradition
231	Conformity: rules
232	Conformity: interpersonal
233	Humility
234	Benevolence: caring
235	Benevolence: dependability
236	Universalism: concern
237	Universalism: nature
238	Universalism: tolerance
239	Universalism: objectivity
240	Self-direction: thought
241	Self-direction: action
242	Stimulation
243	Hedonism
244	Achievement
245	Power: dominance
246	Power: resources
247	Face
248	Security: personal
249	Security: societal
250	Tradition
251	Conformity: rules
252	Conformity: interpersonal
253	Humility
254	Benevolence: caring
255	Benevolence: dependability
256	Universalism: concern
257	Universalism: nature
258	Universalism: tolerance
259	Universalism: objectivity
260	Self-direction: thought
261	Self-direction: action
262	Stimulation
263	Hedonism
264	Achievement
265	Power: dominance
266	Power: resources
267	Face
268	Security: personal
269	Security: societal
270	Tradition
271	Conformity: rules
272	Conformity: interpersonal
273	Humility
274	Benevolence: caring
275	Benevolence: dependability
276	Universalism: concern
277	Universalism: nature
278	Universalism: tolerance
279	Universalism: objectivity
280	Self-direction: thought
281	Self-direction: action
282	Stimulation
283	Hedonism
284	Achievement
285	Power: dominance
286	Power: resources
287	Face
288	Security: personal
289	Security: societal
290	Tradition
291	Conformity: rules
292	Conformity: interpersonal
293	Humility
294	Benevolence: caring
295	Benevolence: dependability
296	Universalism: concern
297	Universalism: nature
298	Universalism: tolerance
299	Universalism: objectivity
300	Self-direction: thought
301	Self-direction: action
302	Stimulation
303	Hedonism
304	Achievement
305	Power: dominance
306	Power: resources
307	Face
308	Security: personal
309	Security: societal
310	Tradition
311	Conformity: rules
312	Conformity: interpersonal
313	Humility
314	Benevolence: caring
315	Benevolence: dependability
316	Universalism: concern
317	Universalism: nature
318	Universalism: tolerance
319	Universalism: objectivity
320	Self-direction: thought
321	Self-direction: action
322	Stimulation
323	Hedonism
324	Achievement
325	Power: dominance
326	Power: resources
327	Face
328	Security: personal
329	Security: societal
330	Tradition
331	Conformity: rules
332	Conformity: interpersonal
333	Humility
334	Benevolence: caring
335	Benevolence: dependability
336	Universalism: concern
337	Universalism: nature
338	Universalism: tolerance
339	Universalism: objectivity
340	Self-direction: thought
341	Self-direction: action
342	Stimulation
343	Hedonism
344	Achievement
345	Power: dominance
346	Power: resources
347	Face
348	Security: personal
349	Security: societal
350	Tradition
351	Conformity: rules
352	Conformity: interpersonal
