Argument ID	Worker ID	Value	Comment
A27031	W034	Have life accepted as is	Thjis is the only thing that comes close to fitting this argument.
A27031	W034	-	This is a really weak argument and nothing truly fits.
A27032	W034	Be just	This sort of fits
A27034	W034	Be helpful	This is ultimately what they're wanting to do here.
A27035	W034	-	Because it is good to protect the vulnerable
A27035	W034	Have a safe country	better defend its citizens is the only thing that really follows this argument.
A27071	W036	-	The argument deals with the cost to society
A27074	W036	-	Having no debts is directly referred to tin the argument
A27077	W034	Be just	This would fall under the protecting the weak and vulnerable children
A27077	W034	-	The best justification I can think of is: Because it is good to protect our children.
A27078	W034	Be broadminded	 their focus is very narrow.
A27078	W034	Have an objective view	This fits if you consider they're not weighing all the pros and cons of using and destroying embryonic cells
A27078	W034	-	The best arguement I can think of is: Because it is good to act morally.
A27079	W034	Have no debts	homeopathic remedies have damaged many people's health.
A27121	W034	Be ambitious	 there's really NOT a good justification for this argument other than freedom of speech is being compromised in their view.
A27121	W034	Have a sense of belonging	This kind of fits this twisted narrative.better than anything else here.
A27121	W034	-	This is really just political rhetoric by Republicans against Democcrats
A27123	W034	Have a world at peace	Prostitutes are vulnerable because it's illegal
A27125	W034	Be ambitious	Because it is good to always have it available anywhere in the world
A27158	W034	Be protecting the environment	This should fit even though it's not explicitly stated.
A27159	W034	-	Because it is good to save resources?
A27159	W034	Have an objective view	There's nothing that says re-write 150 year old laws.
A27160	W034	Be responsible	This is ultimately what they want to achieve with responsible spending.
A27481	W034	-	All 4 of these seem to fit the arguement.
A27482	W034	Have freedom of action	This allows people to buy whatever clothes they can afford for their children.
A27484	W034	Be ambitious	 collectivism has several different meanings for groups or doctrines
A27484	W034	Have success	 and the argument doesn't give any real details on exactly which type of collectivism it's referring to.
A27484	W034	-	I hope these are OK
A27485	W034	Be capable	 but it doesn't really fit the context here.
A27485	W034	Have success	I considered honoring elders
A28022	W034	Have good health	Bullies affect both physical & mental health.
A28056	W034	Be capable	It would help journalists to be more capable in their coverage of our government.
A28059	W034	-	This makes no sense at all.  An austerity regime should have the oppisite effect since the government would control their spending resulting in less taxation.
A28060	W034	Be ambitious	 churches and medical offices don't exist for the purpose of being a safe space for people to get away from their opressors.
A28060	W034	-	This argument seems way off-key
A28156	W034	Have equality	This speaks directly to poorer people.
A28157	W034	-	There's not much context here.
A28158	W034	Be ambitious	 is it referring to Joseph Stalin Collectivist anarchism?
A28158	W034	-	There's nothing to say exactly what type of collectivism they're referring to
A28168	W028	-	be safe
A28233	W034	-	I thought targeted killing was already illegal.
A28234	W034	-	Because it is good to be paid for your work.
A28336	W034	Be helpful	This is being helpful to keep people from harming themselves with questionable treatments.
A28336	W034	Be logical	Desperate people do try to rationalize naturopathy as a valid treatment.
