Argument ID	WA	MACE-P	stance_WA	stance_WA_conf
A01001	0.657212517	0.121887713	1	0.900179387
A01002	0.803042703	0.338718499	1	1
A01005	0.8954556	0.810000685	1	1
A01006	0.885800806	0.99356114	-1	1
A01007	1	0.786178755	-1	1
A01008	1	0.9703175	-1	1
A01009	0.70269125	0.168615137	-1	1
A01010	0.554133726	0.090818861	-1	1
A01011	0.904964595	0.767451678	1	1
A01012	0.888680211	0.878006887	1	1
A01014	0.959591272	0.627811347	-1	1
A01015	1	0.946328586	1	1
A01016	0.877319579	0.612315717	-1	1
A01018	1	0.961496236	-1	0.908697915
A01019	0.983138015	0.987563056	1	1
A01020	0.90231204	0.976356372	1	1
A02001	0.63788082	0.093955786	1	1
A02002	0.81797667	0.424370193	-1	1
A02003	0.623825717	0.016468306	-1	0.911014756
A02004	1	0.762949476	1	0.895916869
A02005	0.736154678	0.422527503	1	1
A02006	1	0.954356072	1	1
A02007	0.804838002	0.251705028	1	0.889936973
A02008	0.516077525	0.081984984	1	1
A02009	0.921773191	0.877877699	-1	1
A02010	1	0.915920535	-1	1
A02011	0.978960601	0.984849443	1	1
A02012	0.667478653	0.017147564	1	0.886854726
A02013	0.91186377	0.81401592	1	0.809248295
A02014	0.916772282	0.772343833	-1	1
A02015	0.784967115	0.500554063	1	0.903608665
A02016	1	0.996135432	1	1
A02018	0.755069074	0.323780853	-1	0.926994887
A02019	0.923639993	0.99624181	1	1
A02020	0.631293485	0.467368487	-1	1
A03001	1	0.989524832	1	1
A03002	0.981229212	0.92985659	-1	1
A03003	0.750782793	0.224127994	1	1
A03004	0.982431586	0.905249644	-1	1
A03005	1	0.958760627	1	1
A03006	1	0.974223953	1	1
A03007	0.951535615	0.612334004	-1	1
A03008	0.75864573	0.415022861	1	1
A03009	0.956081188	0.900692866	1	1
A03010	0.713675722	0.513342384	1	1
A03011	0.840151565	0.473752151	1	1
A03012	0.868368944	0.86397419	1	1
A03013	1	0.872091712	1	1
A03014	0.864915623	0.358688769	1	0.899399032
A03015	0.981760262	0.901964588	1	1
A03016	0.803542395	0.816220419	-1	1
A03017	0.792299262	0.663700594	1	0.879338089
A03018	0.901183309	0.879490855	1	1
A03019	1	0.992605129	1	1
A04001	0.606093871	0.166489569	-1	1
A04002	0.916813548	0.727362507	-1	1
A04003	1	0.97641765	1	1
A04004	0.637207936	0.233886638	1	1
A04005	0.978544306	0.935879707	1	1
A04006	0.505726037	0.000624736	1	1
A04007	0.941532809	0.960826451	-1	1
A04008	0.898754304	0.860152316	1	1
A04009	0.896978915	0.999273267	1	1
A04010	0.818701147	0.24937664	-1	1
A04011	0.929325563	0.972364751	-1	1
A04012	0.593135217	0.004590509	1	1
A04013	0.739465873	0.200684418	-1	1
A04014	0.902330109	0.808675541	1	1
A04016	0.715855212	0.431010931	-1	1
A04017	0.914003583	0.975242535	-1	0.90392185
A04018	1	0.980778484	1	1
A04019	0.624206306	0.002550477	1	1
A04020	0.812262085	0.862867877	1	1
A05001	0.664937875	0.108386796	1	0.884311237
A05002	0.86458417	0.666187574	1	0.803092214
A05003	0.99337808	0.999904485	1	1
A05004	0.979490667	0.957850653	1	1
A05005	1	0.9973004	1	1
A05006	1	0.999889334	1	1
A05007	0.982546093	0.85807021	1	1
A05010	0.653479241	0.194284988	-1	0.703253231
A05012	0.686731162	0.028069346	1	1
A05013	1	0.932762162	1	1
A05014	1	0.999918419	1	1
A05015	0.772215127	0.912659339	1	0.60245785
A05016	0.948532133	0.998398746	-1	0.966019683
A05017	0.676146285	0.044033185	1	1
A05018	0.865317862	0.623715238	1	1
A05020	0.666818171	0.118089221	-1	1
A05021	0.906803129	0.921330529	1	0.913605474
A05022	0.82084171	0.520566978	1	1
A05023	0.710785933	0.130285767	1	1
A05025	0.844538153	0.766148486	-1	1
A05026	0.861901802	0.998906669	1	0.92710702
A05027	0.763837196	0.008597704	-1	1
A05028	0.706483857	0.060985487	1	1
A05029	0.840023576	0.950865999	1	1
A05031	0.608917597	0.019944236	1	1
A05033	0.73195524	0.197294314	-1	1
A05034	0.679297519	0.151598192	1	0.80856656
A05036	0.974545063	0.874301563	1	0.897977994
A05037	0.903184857	0.954781224	1	1
A05038	0.743580734	0.216061471	-1	1
A05039	0.885957031	0.938881624	1	1
A05040	1	0.987944892	-1	1
A05041	0.813386442	0.967394124	1	1
A05042	1	0.818064542	1	1
A05044	0.876279838	0.041407103	1	1
A05045	0.88219718	0.6166284	-1	0.819492308
A05046	1	0.963533273	-1	1
A05047	0.87541537	0.961816925	1	1
A05048	0.686693017	0.257015919	-1	1
A05049	1	0.850151466	1	1
A05050	0.792676466	0.614836122	-1	1
A05051	0.802478308	0.018578034	-1	1
A05052	0.910504543	0.988137465	-1	0.90675014
A05053	0.731410641	0.881877064	1	1
A05054	0.736097439	0.588707317	-1	0.711609742
A05057	0.865497033	0.864340717	-1	1
A05058	0.855725747	0.771416655	-1	1
A05059	0.869937159	0.458822911	-1	0.79885407
A05060	1	0.950734096	1	1
A05061	0.80357811	0.792125825	1	1
A05062	1	0.969512465	-1	0.907981056
A05063	0.585643295	0.040174462	1	1
A05064	1	0.945311712	-1	1
A05066	1	0.98891183	1	1
A05067	1	0.984882777	1	1
A05068	0.698894901	0.258637955	-1	1
A05069	0.602961824	0.232805353	-1	0.911903149
A05070	0.707847719	0.35141964	1	1
A05071	0.903180233	0.999936267	1	1
A05073	0.91863061	0.999068455	1	1
A05074	1	0.90280201	1	0.899175029
A05075	1	0.945281563	-1	1
A05076	1	0.868691328	1	1
A05077	1	0.999905141	-1	1
A05078	0.811124579	0.791786245	1	1
A05079	0.910433464	0.837204558	1	1
A05080	0.921720042	0.782977717	-1	1
A05081	0.74368637	0.340366763	-1	1
A05082	0.886692243	0.986766198	1	1
A05083	1	0.926344023	1	1
A05084	0.751602472	0.354847196	1	0.888148255
A05085	1	0.961482646	1	1
A05086	1	0.993273909	1	1
A05087	1	0.993620788	1	1
A05088	0.732277496	0.093915397	1	1
A05089	0.587343937	0.041350357	-1	1
A05090	0.848571517	0.838687002	1	0.911843328
A05091	0.541107536	0.013226775	-1	0.928976577
A05092	0.976724521	0.945971332	1	1
A05093	0.666048431	0.046365461	1	1
A05094	1	0.999906754	1	0.895614328
A05095	0.728906851	0.313309867	-1	1
A05096	0.591796536	0.005127902	-1	0.898136062
A05097	1	0.865030929	1	1
A05098	0.677615833	0.547885338	-1	1
A05099	0.710557819	0.320440679	1	1
A05100	0.815398288	0.996539673	-1	1
A06001	0.548576824	0.248994086	-1	0.899609206
A06002	0.558546525	0.323741356	-1	0.694993609
A06003	0.581213717	0.008796399	1	0.807999507
A06004	0.859212913	0.976737683	1	1
A06005	0.749036078	0.725615253	-1	0.848868631
A06008	0.798308434	0.630248409	1	1
A06009	0.868445009	0.702897845	1	1
A06010	0.86628567	0.810741687	1	1
A06011	1	0.887244134	1	1
A06013	0.613191308	0.084822249	1	0.896633775
A06014	0.867365733	0.815024496	-1	0.901783419
A06015	1	0.824468242	1	1
A06016	1	0.91322183	1	1
A06017	0.781214229	0.523967071	1	1
A06018	0.588286846	0.006728802	1	0.891040883
A06019	0.806702048	0.761931387	1	1
A06020	1	0.83830368	-1	1
A07001	1	0.893684327	-1	1
A07005	0.787344106	0.263403994	1	1
A07006	0.603572732	0.016451363	1	0.706589776
A07007	0.564760742	0.019742425	1	1
A07008	0.853571551	0.622204823	1	1
A07009	0.595557368	0.170965703	1	1
A07010	0.626786809	0.027055151	-1	1
A07011	0.923255462	0.990862817	-1	1
A07012	0.774080685	0.819829817	1	0.907975514
A07013	0.672707283	0.065081883	-1	1
A07014	0.576691554	0.058934418	1	1
A07015	0.778606312	0.109107499	1	1
A07016	1	0.872413821	1	1
A07017	0.851826301	0.723447759	-1	0.820585713
A07018	0.595819172	0.224805199	1	0.889785698
A07019	0.917259158	0.896742762	-1	1
A07020	0.935416018	0.716688427	1	0.801180317
A07021	1	0.999409763	-1	1
A07022	0.659483788	0.731738743	1	1
A07023	0.715212621	0.22022602	1	1
A07024	0.898201625	0.746101624	-1	1
A07025	1	0.785020078	1	1
A07026	0.892107371	0.956623163	1	1
A07027	1	0.974599419	-1	1
A07029	0.767334159	0.771567942	-1	1
A07030	0.875139624	0.744926898	1	1
A07031	0.92720632	0.675418764	-1	1
A07032	0.684973326	0.117383393	1	1
A07033	0.862624999	0.61514358	1	1
A07034	0.85943269	0.925912958	-1	1
A07036	1	0.935896862	1	1
A07037	0.827322679	0.66463748	-1	0.906020559
A07038	0.803113841	0.979611672	1	1
A07039	0.852427212	0.49893056	1	1
A07041	0.957622085	0.936389332	-1	1
A07042	1	0.999765015	1	1
A07043	0.751956812	0.51027954	1	0.807066567
A07044	1	0.820736749	1	1
A07045	0.661501163	0.105418351	-1	1
A07046	0.887846924	0.999794805	-1	1
A07047	0.661939315	0.077158212	-1	0.787461683
A07049	0.978977632	0.956124102	-1	1
A07050	0.797539655	0.59838568	1	1
A07051	1	0.992562985	-1	1
A07052	0.865344805	0.983668142	-1	1
A07053	0.55505365	0.102317957	-1	1
A07054	0.674006148	0.161189181	1	1
A07055	0.820420096	0.622202924	-1	1
A07057	0.63987639	0.025841697	-1	1
A07058	1	0.987904732	1	1
A07059	1	0.874159037	1	1
A07060	1	0.615267919	1	0.918373522
A07061	0.941171712	0.617062586	-1	1
A07062	1	0.922527122	-1	1
A07063	0.765568225	0.284444492	-1	1
A07064	0.874371991	0.710173263	1	1
A07065	0.596230802	0.01880448	-1	1
A07066	0.781559612	0.853472914	-1	1
A07067	0.705863643	0.830025111	-1	1
A07068	0.917670791	0.874230576	-1	1
A07069	0.722065135	0.330848311	-1	1
A07070	0.79020385	0.753799454	1	1
A07072	0.699670409	0.122609973	1	0.887523947
A07073	0.68519562	0.140778773	-1	1
A07074	0.694383875	0.995844144	1	0.902427916
A07075	0.808257627	0.997955094	-1	1
A07076	0.916049289	0.806054161	1	0.898884806
A07077	1	0.908886289	1	1
A07078	0.645543408	0.323767118	-1	1
A07079	0.668541227	0.117510843	1	0.9026208
A07080	0.904964595	0.744111327	-1	0.887639777
A07081	0.759068503	0.387868839	-1	1
A07082	0.946765407	0.820630013	-1	1
A07083	0.526923393	0.009172208	1	0.803241411
A07084	1	0.898976909	1	1
A07085	0.670269277	0.13380511	-1	1
A07086	0.55752922	0.027709265	-1	0.693931157
A07087	0.84505847	0.733301839	-1	1
A07088	0.712261108	0.283807896	-1	1
A07089	0.710098634	0.051433589	-1	0.822084762
A07091	0.663869808	0.315437605	-1	0.90550265
A07092	0.980690943	0.974605198	1	0.892315329
A07093	0.678330296	0.106805582	-1	1
A07094	0.849666853	0.67309858	1	1
A07095	0.673516916	0.604676634	-1	1
A07096	0.816728951	0.756597821	1	1
A07097	0.702304795	0.930470227	-1	0.925886865
A07098	1	0.725246518	1	1
A07099	0.881624764	0.970368398	1	1
A08001	0.959995421	0.854640196	1	0.601875156
A08002	0.908926214	0.917181248	1	1
A08003	0.635053212	0.20495047	-1	1
A08004	1	0.631757234	1	0.897515421
A08005	0.703993083	0.133111275	1	1
A08006	0.618884716	0.060952293	1	0.788940635
A08007	0.890172782	0.951293649	1	1
A08008	0.830264729	0.411081689	1	1
A08009	0.653686629	0.058166198	-1	0.604746426
A08010	1	0.933162955	-1	0.928220236
A08011	0.531157652	0.002436136	1	0.521575439
A08012	0.676839006	0.509692551	1	1
A08013	0.936866113	0.914316851	1	1
A08014	0.669112895	0.124303317	-1	1
A08015	1	0.874782824	1	1
A08016	0.712938947	0.098501809	-1	1
A08017	0.945441957	0.699491834	-1	1
A08018	1	0.94520078	1	1
A08019	0.922082962	0.993129711	1	1
A08020	0.986284726	0.941575939	1	1
A09001	0.659114401	0.274494095	1	1
A09002	0.882219935	0.64894352	1	0.805096652
A09003	0.97905779	0.947970768	-1	1
A09004	0.720726737	0.675386172	-1	1
A09005	0.942877614	0.985571247	-1	1
A09006	0.686693017	0.257015919	-1	1
A09007	0.674369031	0.06696746	-1	0.823212339
A09008	0.519205047	0.00673403	-1	1
A09009	0.683670267	0.351774516	-1	0.928165312
A09010	0.913947327	0.86604939	1	0.90134889
A09011	0.805497676	0.999239475	1	1
A09012	0.547713841	0.011595964	-1	0.510558918
A09013	0.814896977	0.649156121	-1	0.888909617
A09014	1	0.990907257	1	1
A09015	0.573389252	0.00234436	-1	1
A09016	1	0.987489858	1	1
A09017	0.709963098	0.10937611	1	1
A09018	0.79340806	0.919694558	-1	1
A09019	0.704964417	0.7093502	1	1
A09021	0.778859115	0.229956844	1	1
A09022	1	0.864655862	1	1
A09023	1	0.944819152	1	1
A09024	0.706367801	0.745022735	-1	1
A09025	0.780673609	0.12347932	1	1
A09026	1	0.953945593	-1	1
A09027	0.638366324	0.089610842	-1	1
A09028	0.74992774	0.618156042	1	1
A09029	0.875413196	0.700920961	1	1
A09030	0.617580652	0.004435917	1	1
A09031	0.877130464	0.995406567	1	1
A09033	1	0.901243435	1	1
A09034	0.856409042	0.608346907	-1	0.693692964
A09035	1	0.961754522	-1	1
A09036	0.93698805	0.634249411	-1	1
A09037	1	0.930293537	-1	1
A09038	1	0.938993859	1	1
A09039	0.66841656	0.52279075	-1	1
A09040	0.878834637	0.929641849	1	1
A09041	0.917674576	0.907212319	1	1
A09042	0.879864438	0.930776387	-1	1
A09043	0.920377302	0.98607807	1	1
A09045	1	0.999976241	-1	1
A09046	0.724654654	0.111629439	1	1
A09047	0.755557607	0.867036991	-1	0.892087824
A09048	0.873679164	0.95495914	1	1
A09050	0.592613587	0.075809466	1	1
A09051	1	0.827943314	1	1
A09052	0.851533654	0.827939648	-1	1
A09053	0.888264376	0.773490552	-1	1
A09057	1	0.999704385	1	1
A09058	0.955252031	0.810991758	1	1
A09059	1	0.928958988	1	1
A09060	0.794448229	0.702929062	-1	1
A09061	0.565717266	0.02990074	-1	0.697298517
A09062	0.902780115	0.831173997	1	1
A09063	0.904068132	0.821574722	-1	1
A09064	0.747210671	0.859167021	1	1
A09065	0.755286448	0.086226911	-1	1
A09066	0.724025313	0.991968163	-1	1
A09067	0.981760262	0.901964588	1	1
A09068	1	0.770695797	-1	1
A09069	0.644301922	0.001024698	1	1
A09070	0.812120482	0.772407919	-1	0.905000664
A09071	1	0.914816313	1	1
A09072	0.984873483	0.963855963	-1	1
A09073	0.804861465	0.681631502	-1	1
A09076	0.845774627	0.890743952	-1	1
