Argument ID	Conclusion Chinese	Premise Chinese	URL
C26001	我们应该取消996的加班制度	996对你赚钱的提升效率很低。你如果依靠996赚钱，本质上就是靠拼命、卖身，赚钱。	https://www.zhihu.com/question/438516757
C26002	我们应该取消996的加班制度	996让你没有学习和进步的空间，永远陷于“老鼠陷阱”里。	https://www.zhihu.com/question/438516757
C26003	我们应该取消996的加班制度	对于农民来说，进城打工就是一种福报；对于建筑工人来说，能干上个技术工种就是福报；对于所有这些人来说，能去互联网大厂996就是福报，十二小时一周六天，还能歇一天，挺好。	https://www.zhihu.com/question/438516757
C26004	我们应该取消996的加班制度	996违反了劳动法。	https://www.zhihu.com/question/438516757
C26005	我们应该取消996的加班制度	企业管理层追求利益最大化，一个企业想要盈利无非是扩大产能，开发新需求，降低经营成本，扩大产能需要投入研发资金，开发新需求需要抢夺市场，两者都是不可控因素，而唯独降低经营成本是可控的，至少在人工成本上中国还是红利期，	https://www.zhihu.com/question/438516757
C26006	我们应该放弃研发新能源汽车	提速较快, 比起燃油车动力部分,电动汽车通过电机驱动，启动时则直接最大扭矩。	https://www.zhihu.com/question/397751632/answer/1269200779
C26007	我们应该放弃研发新能源汽车	电动汽车的智能化程度，较之于燃油车高出很多。	https://www.zhihu.com/question/397751632/answer/1269200779
C26008	我们应该放弃研发新能源汽车	于汽车生命周期而言，电动汽车较之于燃油车，用车费用会便宜很多	https://www.zhihu.com/question/397751632/answer/1269200779
C26009	我们应该放弃研发新能源汽车	电动汽车电池的开发，本身就是高污染行业。甚至电池如果无法回收，将带来非常严重的污染	https://www.zhihu.com/question/397751632/answer/1269200779
C26010	我们应该放弃研发新能源汽车	市场导向难。在没有补贴，没有限牌限购，双积分等政策后，纯粹市场经济，纯电动汽车是否仍然能平稳增长？面临的消费者信心低、成本高昂、以及技术瓶颈等问题，仍然需要走很长的路。	https://www.zhihu.com/question/397751632/answer/1269200779
C26011	我们应该放弃研发新能源汽车	尽管动力电池目前国内以宁德时代为首的市占率极高，但其能量密度相对不高、成本高、寿命低及稳定性不高，电池行业能否突破技术瓶颈，或寻得高性价比替代产品？	https://www.zhihu.com/question/397751632/answer/1269200779
C26012	我们应该放弃研发新能源汽车	充电基础设施建设不完善。当前中国电动车桩比例仅3.5:1，距离1:1仍然有差距。身为用户，最怕的就是续航忧虑	https://www.zhihu.com/question/397751632/answer/1269200779
C26013	我们应该放弃研发新能源汽车	用户信心低，这一点源于以上所有不足点。所有对新事物接受程度低，甚至来源于早先的丑闻事件。种种打击，加上弊端，让纯电动汽车艰难重重。	https://www.zhihu.com/question/397751632/answer/1269200779
C26014	我们应该禁止虚拟货币的交易。	火币在中国出过的”事故“并不少，”拔网线“是常态，每个月都有维权者在海南火币网下进行维权。除此之外由于火币的风控和反洗钱做得比较差，火币经常是不法分子的洗钱渠道，在很多官媒很多报道中都有迹可循。要说和普通人息息相关的就数“冻卡”了，冻卡少则一周多则半年，对个人生活影响巨大。	https://www.zhihu.com/question/488759941/answer/2137722091
C26015	我们应该禁止虚拟货币的交易。	虚拟货币已经成为国家重点打击的目标。多个部委屡次强调要打击虚拟货币，既是为了保证碳达峰碳中和的顺利推进，也是为了保护国家金融秩序	https://www.zhihu.com/question/488759941/answer/2137722091
C26016	我们应该禁止虚拟货币的交易。	虚拟货币在中国不受合同法、物权法的保护。	https://www.zhihu.com/question/488759941/answer/2137722091
C26017	我们应该禁止虚拟货币的交易。	数字货币也一样，不仅不能创造外汇，还会造成外汇外流	https://www.zhihu.com/question/488759941/answer/2137722091
